Time,AvatarA,AvatarB,Distance,nCrosses,n_shadow1,n_shadow2,n_stat1,n_stat2,clickA,clickB
0.04,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.08,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.12,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.16,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.2,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.24,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.28,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.32,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.36,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.4,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.44,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.48,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.52,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.56,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.6,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.64,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.68,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.72,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.76,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.8,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.84,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.88,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.92,70,1220,-1150,0,0,0,0,0,0.0,0.0
0.96,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.0,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.04,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.08,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.12,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.16,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.2,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.24,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.28,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.32,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.36,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.4,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.44,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.48,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.52,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.56,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.6,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.64,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.68,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.72,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.76,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.8,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.84,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.88,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.92,70,1220,-1150,0,0,0,0,0,0.0,0.0
1.96,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.0,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.04,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.08,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.12,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.16,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.2,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.24,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.28,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.32,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.36,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.4,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.44,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.48,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.52,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.56,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.6,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.64,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.68,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.72,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.76,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.8,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.84,70,1220,-1150,0,0,0,0,0,0.0,0.0
2.88,70,1220,-1150,0,0,0,0,0,0.0,0.0
