Time,AvatarA,AvatarB,Distance,nCrosses,n_shadow1,n_shadow2,n_stat1,n_stat2,clickA,clickB
0.04,72,1222,-1150,0,0,0,0,0,0.0,0.0
0.08,75,1224,-1149,0,0,0,0,0,0.0,0.0
0.12,78,1226,-1148,0,0,0,0,0,0.0,0.0
0.16,81,1228,-1147,0,0,0,0,0,0.0,0.0
0.2,84,1230,-1146,0,0,0,0,0,0.0,0.0
0.24,87,1232,-1145,0,0,0,0,0,0.0,0.0
0.28,90,1234,-1144,0,0,0,0,0,0.0,0.0
0.32,93,1236,-1143,0,0,0,0,0,0.0,0.0
0.36,96,1238,-1142,0,0,0,0,0,0.0,0.0
0.4,98,1240,-1142,0,0,0,0,0,0.0,0.0
0.44,100,1242,-1142,0,0,0,0,0,0.0,0.0
0.48,102,1244,-1142,0,0,0,0,0,0.0,0.0
0.52,104,1246,-1142,0,0,0,0,0,0.0,0.0
0.56,106,1248,-1142,0,0,0,0,0,0.0,0.0
0.6,108,1250,-1142,0,0,0,0,0,0.0,0.0
0.64,110,1252,-1142,0,0,0,0,0,0.0,0.0
0.68,112,1254,-1142,0,0,0,0,0,0.0,0.0
0.72,114,1256,-1142,0,0,0,0,0,0.0,0.0
0.76,116,1258,-1142,0,0,0,0,0,0.0,0.0
0.8,118,1260,-1142,0,0,0,0,0,0.0,0.0
0.84,120,1262,-1142,0,0,0,0,0,0.0,0.0
0.88,122,1264,-1142,0,0,0,0,0,0.0,0.0
0.92,124,1266,-1142,0,0,0,0,0,0.0,0.0
0.96,126,1268,-1142,0,0,0,0,0,0.0,0.0
1.0,128,1270,-1142,0,0,0,0,0,0.0,0.0
1.04,130,1272,-1142,0,0,0,0,0,0.0,0.0
1.08,132,1274,-1142,0,0,0,0,0,0.0,0.0
1.12,134,1276,-1142,0,0,0,0,0,0.0,0.0
1.16,136,1278,-1142,0,0,0,0,0,0.0,0.0
1.2,138,1280,-1142,0,0,0,0,0,0.0,0.0
1.24,140,1282,-1142,0,0,0,0,0,0.0,0.0
1.28,142,1284,-1142,0,0,0,0,0,0.0,0.0
1.32,144,1286,-1142,0,0,0,0,0,0.0,0.0
1.36,146,1288,-1142,0,0,0,0,0,0.0,0.0
1.4,148,1290,-1142,0,0,0,0,0,0.0,0.0
1.44,150,1292,-1142,0,0,0,0,0,0.0,0.0
1.48,152,1294,-1142,0,0,0,0,0,0.0,0.0
1.52,154,1296,-1142,0,0,0,0,0,0.0,0.0
1.56,156,1298,-1142,0,0,0,0,0,0.0,0.0
1.6,158,1300,-1142,0,0,0,0,0,0.0,0.0
1.64,160,1302,-1142,0,0,0,0,0,0.0,0.0
1.68,162,1303,-1141,0,0,0,0,0,0.0,0.0
1.72,164,1304,-1140,0,0,0,0,0,0.0,0.0
1.76,166,1305,-1139,0,0,0,0,0,0.0,0.0
1.8,168,1306,-1138,0,0,0,0,0,0.0,0.0
1.84,170,1307,-1137,0,0,0,0,0,0.0,0.0
1.88,172,1308,-1136,0,0,0,0,0,0.0,0.0
1.92,171,1309,-1138,0,0,0,0,0,0.0,0.0
1.96,168,1310,-1142,0,0,0,0,0,0.0,0.0
2.0,165,1311,-1146,0,0,0,0,0,0.0,0.0
2.04,161,1312,-1151,0,0,0,0,0,0.0,0.0
2.08,157,1313,-1156,0,0,0,0,0,0.0,0.0
2.12,153,1314,-1161,0,0,0,0,0,0.0,0.0
2.16,149,1315,-1166,0,0,0,0,0,0.0,0.0
2.2,145,1316,-1171,0,0,0,0,0,0.0,0.0
2.24,141,1317,-1176,0,0,0,0,0,0.0,0.0
2.28,137,1318,-1181,0,0,0,0,0,0.0,0.0
2.32,133,1319,-1186,0,0,0,0,0,0.0,0.0
2.36,129,1320,-1191,0,0,0,0,0,0.0,0.0
2.4,125,1321,-1196,0,0,0,0,0,0.0,0.0
2.44,121,1322,-1201,0,0,0,0,0,0.0,0.0
2.48,121,1323,-1202,0,0,0,0,0,0.0,0.0
2.52,123,1324,-1201,0,0,0,0,0,0.0,0.0
2.56,126,1325,-1199,0,0,0,0,0,0.0,0.0
2.6,129,1326,-1197,0,0,0,0,0,0.0,0.0
2.64,132,1327,-1195,0,0,0,0,0,0.0,0.0
2.68,136,1328,-1192,0,0,0,0,0,0.0,0.0
2.72,140,1328,-1188,0,0,0,0,0,0.0,0.0
2.76,143,1328,-1185,0,0,0,0,0,0.0,0.0
2.8,144,1328,-1184,0,0,0,0,0,0.0,0.0
2.84,143,1328,-1185,0,0,0,0,0,0.0,0.0
2.88,141,1328,-1187,0,0,0,0,0,0.0,0.0
2.92,139,1328,-1189,0,0,0,0,0,0.0,0.0
2.96,137,1328,-1191,0,0,0,0,0,0.0,0.0
3.0,134,1328,-1194,0,0,0,0,0,0.0,0.0
3.04,131,1328,-1197,0,0,0,0,0,0.0,0.0
3.08,128,1328,-1200,0,0,0,0,0,0.0,0.0
3.12,125,1328,-1203,0,0,0,0,0,0.0,0.0
3.16,122,1326,-1204,0,0,0,0,0,0.0,0.0
3.2,119,1324,-1205,0,0,0,0,0,0.0,0.0
3.24,116,1323,-1207,0,0,0,0,0,0.0,0.0
3.28,113,1322,-1209,0,0,0,0,0,0.0,0.0
3.32,110,1321,-1211,0,0,0,0,0,0.0,0.0
3.36,107,1320,-1213,0,0,0,0,0,0.0,0.0
3.4,104,1319,-1215,0,0,0,0,0,0.0,0.0
3.44,101,1318,-1217,0,0,0,0,0,0.0,0.0
3.48,98,1317,-1219,0,0,0,0,0,0.0,0.0
3.52,95,1316,-1221,0,0,0,0,0,0.0,0.0
3.56,92,1315,-1223,0,0,0,0,0,0.0,0.0
3.6,89,1315,-1226,0,0,0,0,0,0.0,0.0
3.64,86,1315,-1229,0,0,0,0,0,0.0,0.0
3.68,83,1314,-1231,0,0,0,0,0,0.0,0.0
3.72,80,1314,-1234,0,0,0,0,0,0.0,0.0
3.76,76,1314,-1238,0,0,0,0,0,0.0,0.0
3.8,72,1314,-1242,0,0,0,0,0,0.0,0.0
3.84,68,1314,-1246,0,0,0,0,0,0.0,0.0
3.88,64,1314,-1250,0,0,0,0,0,0.0,0.0
3.92,60,1314,-1254,0,0,0,0,0,0.0,0.0
3.96,56,1314,-1258,0,0,0,0,0,0.0,0.0
4.0,52,1314,-1262,0,0,0,0,0,0.0,0.0
4.04,48,1314,-1266,0,0,0,0,0,0.0,0.0
4.08,44,1313,-1269,0,0,0,0,0,0.0,0.0
4.12,40,1313,-1273,0,0,0,0,0,0.0,0.0
4.16,36,1313,-1277,0,0,0,0,0,0.0,0.0
4.2,32,1313,-1281,0,0,0,0,0,0.0,0.0
4.24,28,1313,-1285,0,0,0,0,0,0.0,0.0
4.28,24,1313,-1289,0,0,0,0,0,0.0,0.0
4.32,20,1313,-1293,0,1,0,0,0,0.0,0.0
4.36,16,1313,-1297,0,1,0,0,0,0.0,0.0
4.4,12,1313,-1301,0,1,0,0,0,0.0,0.0
4.44,8,1313,-1305,0,1,0,0,0,0.0,0.0
4.48,4,1313,-1309,0,1,0,0,0,0.0,0.0
4.52,1440,1313,127,0,1,0,0,0,0.0,0.0
4.56,1436,1313,123,0,1,0,0,0,0.0,0.0
4.6,1432,1313,119,0,1,0,0,0,0.0,0.0
4.64,1428,1314,114,0,1,0,0,0,0.0,0.0
4.68,1424,1314,110,0,1,0,0,0,0.0,0.0
4.72,1420,1314,106,0,1,0,0,0,0.0,0.0
4.76,1416,1315,101,0,1,0,0,0,0.0,0.0
4.8,1412,1315,97,0,1,0,0,0,0.0,0.0
4.84,1408,1315,93,0,1,0,0,0,0.0,0.0
4.88,1404,1315,89,0,1,0,0,0,0.0,0.0
4.92,1400,1315,85,0,1,0,0,0,0.0,0.0
4.96,1396,1315,81,0,1,0,0,0,0.0,0.0
5.0,1392,1315,77,0,1,0,0,0,0.0,0.0
5.04,1388,1315,73,0,1,0,0,0,0.0,0.0
5.08,1384,1315,69,0,1,0,0,0,0.0,0.0
5.12,1380,1315,65,0,1,0,0,0,0.0,0.0
5.16,1376,1314,62,0,1,0,0,0,0.0,0.0
5.2,1372,1314,58,0,1,0,0,0,0.0,0.0
5.24,1368,1314,54,0,1,0,0,0,0.0,0.0
5.28,1364,1314,50,0,1,0,0,0,0.0,0.0
5.32,1360,1314,46,0,1,0,0,0,0.0,0.0
5.36,1356,1315,41,0,1,0,0,0,0.0,0.0
5.4,1352,1315,37,0,1,0,0,0,0.0,0.0
5.44,1348,1315,33,0,1,0,0,0,0.0,0.0
5.48,1344,1315,29,0,1,0,0,0,0.0,0.0
5.52,1340,1315,25,0,1,0,0,0,0.0,0.0
5.56,1336,1315,21,0,1,0,0,0,0.0,0.0
5.6,1332,1315,17,0,1,0,0,0,0.0,0.0
5.64,1328,1315,13,0,1,0,0,0,0.0,0.0
5.68,1324,1315,9,0,1,0,0,0,0.0,0.0
5.72,1320,1315,5,0,1,0,0,0,0.0,0.0
5.76,1316,1315,1,0,1,0,0,0,0.0,0.0
5.8,1312,1314,-2,1,1,0,0,0,0.0,0.0
5.84,1308,1314,-6,1,1,0,0,0,0.0,0.0
5.88,1304,1313,-9,1,1,0,0,0,0.0,0.0
5.92,1300,1313,-13,1,1,0,0,0,0.0,0.0
5.96,1296,1312,-16,1,1,0,0,0,0.0,0.0
6.0,1292,1313,-21,1,1,0,0,0,0.0,0.0
6.04,1288,1314,-26,1,1,0,0,0,0.0,0.0
6.08,1284,1313,-29,1,1,0,0,0,0.0,0.0
6.12,1280,1312,-32,1,1,0,0,0,0.0,0.0
6.16,1276,1311,-35,1,1,0,0,0,0.0,1.0
6.2,1272,1310,-38,1,1,0,0,0,0.0,0.0
6.24,1268,1310,-42,1,1,0,0,0,0.0,0.0
6.28,1264,1310,-46,1,1,0,0,0,0.0,0.0
6.32,1260,1309,-49,1,1,0,0,0,0.0,0.0
6.36,1256,1308,-52,1,1,0,0,0,0.0,0.0
6.4,1252,1308,-56,1,1,0,0,0,0.0,0.0
6.44,1248,1308,-60,1,1,0,0,0,0.0,0.0
6.48,1244,1308,-64,1,1,0,0,0,0.0,0.0
6.52,1240,1308,-68,1,1,0,0,0,0.0,0.0
6.56,1236,1308,-72,1,1,0,0,0,0.0,0.0
6.6,1232,1308,-76,1,1,0,0,0,0.0,0.0
6.64,1228,1308,-80,1,1,0,0,0,0.0,0.0
6.68,1224,1307,-83,1,1,0,0,0,0.0,0.0
6.72,1220,1306,-86,1,1,0,0,0,0.0,0.0
6.76,1216,1306,-90,1,1,0,0,0,0.0,0.0
6.8,1212,1305,-93,1,1,0,0,0,0.0,0.0
6.84,1208,1304,-96,1,1,0,0,0,0.0,0.0
6.88,1204,1303,-99,1,1,0,0,0,0.0,0.0
6.92,1200,1302,-102,1,1,0,0,0,0.0,0.0
6.96,1196,1301,-105,1,1,0,0,0,0.0,0.0
7.0,1192,1300,-108,1,1,0,0,0,0.0,0.0
7.04,1188,1299,-111,1,1,0,0,0,0.0,0.0
7.08,1184,1298,-114,1,1,0,0,0,0.0,0.0
7.12,1180,1297,-117,1,1,0,0,0,0.0,0.0
7.16,1176,1297,-121,1,1,0,0,0,0.0,0.0
7.2,1172,1296,-124,1,1,0,0,0,0.0,0.0
7.24,1168,1295,-127,1,1,0,0,0,0.0,0.0
7.28,1164,1294,-130,1,1,0,0,0,0.0,0.0
7.32,1160,1294,-134,1,1,0,0,0,0.0,0.0
7.36,1156,1294,-138,1,1,0,0,0,0.0,0.0
7.4,1152,1294,-142,1,1,0,0,0,0.0,0.0
7.44,1148,1293,-145,1,1,0,0,0,0.0,0.0
7.48,1144,1292,-148,1,1,0,0,0,0.0,0.0
7.52,1140,1292,-152,1,1,1,0,0,0.0,0.0
7.56,1136,1292,-156,1,1,1,0,0,0.0,0.0
7.6,1132,1292,-160,1,1,1,0,0,0.0,0.0
7.64,1128,1293,-165,1,1,1,0,0,0.0,0.0
7.68,1124,1292,-168,1,1,1,0,0,0.0,0.0
7.72,1120,1292,-172,1,1,1,0,0,0.0,0.0
7.76,1116,1292,-176,1,1,1,0,0,0.0,0.0
7.8,1112,1291,-179,1,1,1,0,0,0.0,0.0
7.84,1108,1291,-183,1,1,1,0,0,0.0,0.0
7.88,1104,1291,-187,1,1,1,0,0,0.0,0.0
7.92,1100,1292,-192,1,1,1,0,0,0.0,0.0
7.96,1096,1291,-195,1,1,1,0,0,0.0,1.0
8.0,1092,1290,-198,1,1,1,0,0,0.0,0.0
8.04,1088,1290,-202,1,1,1,0,0,0.0,0.0
8.08,1084,1290,-206,1,1,1,0,0,0.0,0.0
8.12,1080,1289,-209,1,1,1,0,0,0.0,0.0
8.16,1076,1289,-213,1,1,1,0,0,0.0,0.0
8.2,1072,1289,-217,1,1,1,0,0,0.0,0.0
8.24,1068,1289,-221,1,1,1,0,0,0.0,0.0
8.28,1064,1289,-225,1,1,1,0,0,0.0,0.0
8.32,1060,1289,-229,1,1,1,0,0,0.0,0.0
8.36,1056,1289,-233,1,1,1,0,0,0.0,0.0
8.4,1052,1289,-237,1,1,1,0,0,0.0,0.0
8.44,1048,1288,-240,1,1,1,0,0,0.0,0.0
8.48,1044,1289,-245,1,1,1,0,0,0.0,0.0
8.52,1040,1289,-249,1,1,1,0,0,0.0,0.0
8.56,1036,1290,-254,1,1,1,0,0,0.0,0.0
8.6,1032,1293,-261,1,1,1,0,0,0.0,0.0
8.64,1028,1297,-269,1,1,1,0,0,0.0,0.0
8.68,1024,1301,-277,1,1,1,0,0,0.0,0.0
8.72,1020,1305,-285,1,1,1,0,0,0.0,0.0
8.76,1016,1309,-293,1,1,1,0,0,0.0,0.0
8.8,1012,1313,-301,1,1,1,0,0,0.0,0.0
8.84,1008,1317,-309,1,1,1,0,0,0.0,0.0
8.88,1004,1321,-317,1,1,1,0,0,0.0,0.0
8.92,1000,1325,-325,1,1,1,0,0,0.0,0.0
8.96,996,1329,-333,1,1,1,0,0,0.0,0.0
9.0,992,1333,-341,1,1,1,0,0,0.0,0.0
9.04,988,1337,-349,1,1,1,0,0,0.0,0.0
9.08,984,1341,-357,1,1,1,0,0,0.0,0.0
9.12,980,1345,-365,1,1,1,0,0,0.0,0.0
9.16,976,1349,-373,1,1,1,0,0,0.0,0.0
9.2,972,1353,-381,1,1,1,0,0,0.0,0.0
9.24,968,1357,-389,1,1,1,0,0,0.0,0.0
9.28,964,1361,-397,1,1,1,0,0,0.0,0.0
9.32,960,1365,-405,1,1,1,0,0,0.0,0.0
9.36,956,1369,-413,1,1,1,0,0,0.0,0.0
9.4,952,1373,-421,1,1,1,0,0,0.0,0.0
9.44,948,1377,-429,1,1,1,0,0,0.0,0.0
9.48,944,1381,-437,1,1,1,0,0,0.0,0.0
9.52,940,1385,-445,1,1,1,0,0,0.0,0.0
9.56,936,1389,-453,1,1,1,0,0,0.0,0.0
9.6,932,1393,-461,1,1,1,0,0,0.0,0.0
9.64,928,1397,-469,1,1,1,0,0,0.0,0.0
9.68,924,1401,-477,1,1,1,0,0,0.0,0.0
9.72,920,1405,-485,1,1,1,0,0,0.0,0.0
9.76,916,1409,-493,1,1,1,0,0,0.0,0.0
9.8,912,1413,-501,1,1,1,0,0,0.0,0.0
9.84,908,1417,-509,1,1,1,0,0,0.0,0.0
9.88,904,1421,-517,1,1,1,0,0,0.0,0.0
9.92,900,1425,-525,1,1,1,0,0,0.0,0.0
9.96,896,1429,-533,1,1,1,0,0,0.0,0.0
10.0,892,1433,-541,1,1,1,0,0,0.0,0.0
10.04,888,1437,-549,1,1,1,0,0,0.0,0.0
10.08,884,1,883,1,1,1,0,0,0.0,0.0
10.12,880,5,875,1,1,1,0,0,0.0,0.0
10.16,876,9,867,1,1,1,0,0,0.0,0.0
10.2,872,13,859,1,1,1,0,0,0.0,0.0
10.24,868,17,851,1,1,1,0,0,0.0,0.0
10.28,864,21,843,1,1,1,0,0,0.0,0.0
10.32,860,25,835,1,1,1,0,0,0.0,0.0
10.36,856,29,827,1,1,1,0,0,0.0,0.0
10.4,852,33,819,1,1,1,0,0,0.0,0.0
10.44,848,37,811,1,1,1,0,0,0.0,0.0
10.48,844,41,803,1,1,1,0,0,0.0,0.0
10.52,840,45,795,1,1,1,0,0,0.0,0.0
10.56,836,49,787,1,1,1,0,0,0.0,0.0
10.6,832,53,779,1,1,1,0,0,0.0,0.0
10.64,828,57,771,1,1,1,0,0,0.0,0.0
10.68,824,61,763,1,1,1,0,0,0.0,0.0
10.72,820,65,755,1,1,1,0,0,0.0,0.0
10.76,816,69,747,1,1,1,0,0,0.0,0.0
10.8,812,73,739,1,1,1,0,0,0.0,0.0
10.84,808,77,731,1,1,1,0,0,0.0,0.0
10.88,804,81,723,1,1,1,0,0,0.0,0.0
10.92,800,85,715,1,1,1,0,0,0.0,0.0
10.96,796,89,707,1,1,1,0,0,0.0,0.0
11.0,792,93,699,1,1,1,0,0,0.0,0.0
11.04,788,97,691,1,1,1,0,0,0.0,0.0
11.08,784,101,683,1,1,1,0,0,0.0,0.0
11.12,780,105,675,1,1,1,0,0,0.0,0.0
11.16,776,109,667,1,1,1,0,0,0.0,0.0
11.2,772,113,659,1,1,1,0,0,0.0,0.0
11.24,768,117,651,1,1,1,0,0,0.0,0.0
11.28,764,121,643,1,1,1,0,0,0.0,0.0
11.32,760,125,635,1,1,1,0,0,0.0,0.0
11.36,756,129,627,1,1,1,0,0,0.0,0.0
11.4,752,133,619,1,1,1,0,0,0.0,0.0
11.44,748,137,611,1,1,1,0,0,0.0,0.0
11.48,744,141,603,1,1,1,0,0,0.0,0.0
11.52,740,145,595,1,1,1,0,0,0.0,0.0
11.56,736,149,587,1,1,1,0,0,0.0,0.0
11.6,732,153,579,1,1,1,0,0,0.0,0.0
11.64,728,157,571,1,1,1,0,0,0.0,0.0
11.68,724,161,563,1,1,1,0,0,0.0,0.0
11.72,720,165,555,1,1,1,0,0,0.0,0.0
11.76,716,169,547,1,1,1,0,0,0.0,0.0
11.8,712,173,539,1,1,1,0,0,0.0,0.0
11.84,708,177,531,1,1,1,0,0,0.0,0.0
11.88,704,181,523,1,1,1,0,0,0.0,0.0
11.92,700,185,515,1,1,1,0,0,0.0,0.0
11.96,696,189,507,1,1,1,0,0,0.0,0.0
12.0,692,193,499,1,1,1,0,0,0.0,0.0
12.04,688,197,491,1,1,1,0,0,0.0,0.0
12.08,684,201,483,1,1,1,0,0,0.0,0.0
12.12,680,205,475,1,1,1,0,0,0.0,0.0
12.16,676,209,467,1,1,1,0,0,0.0,0.0
12.2,672,213,459,1,1,1,0,0,0.0,0.0
12.24,668,217,451,1,1,1,0,0,0.0,0.0
12.28,664,221,443,1,1,1,0,0,0.0,0.0
12.32,660,225,435,1,1,1,0,0,0.0,0.0
12.36,656,229,427,1,1,1,0,0,0.0,0.0
12.4,652,233,419,1,1,1,0,0,0.0,0.0
12.44,648,237,411,1,1,1,0,0,0.0,0.0
12.48,644,241,403,1,1,1,0,0,0.0,0.0
